Variable,Feature_Stage,Availability,Classification,Leakage_Risk,Can_Use_In,Dependency_Status,Recommendation,In_Production_Model
HM,Raw,Planning,Semi-controllable,None,Prediction; Optimization,SAFE,KEEP,No
DRI,Raw,Planning,Semi-controllable,None,Prediction; Optimization,SAFE,KEEP,No
HBI,Raw,Planning,Semi-controllable,None,Prediction; Optimization,SAFE,KEEP,No
Bucket,Raw,Planning,Controllable,None,Prediction; Optimization,SAFE,KEEP,No
LIME,Raw,Planning,Controllable,Low,Prediction; Optimization,SAFE,KEEP,No
DOLO,Raw,Planning,Controllable,Low,Prediction; Optimization,SAFE,KEEP,No
EE_KWH,Raw,Post-process,Outcome,High,Neither,LEAKY,REMOVE,Indirect
OXY,Raw,Unknown,Semi-controllable,Medium,VERIFY,QUESTIONABLE,VERIFY WITH JSPL,Indirect
CPC,Raw,Unknown,Semi-controllable,Medium,VERIFY,QUESTIONABLE,VERIFY WITH JSPL,Indirect
Shift,Raw,Planning,Uncontrollable context,Low,Prediction,SAFE,KEEP,No
T C,Raw,Planning,Semi-controllable,None,Prediction; Optimization,SAFE,KEEP,No
Power Restriction,Raw,Planning; Online,Exogenous constraint,None,Prediction; Optimization,SAFE,KEEP,No
TTT,Raw,Post-process,Response,N/A (target),Neither,SAFE,REMOVE (as input),No
HM_X_POWER,Production (Phase 18/19),Post-process,Intermediate/Outcome,High,Neither,LEAKY,REMOVE,Yes
BUCKET_X_CPC,Production (Phase 18/19),Unknown,Intermediate,Medium,VERIFY,QUESTIONABLE,VERIFY WITH JSPL,Yes
OXYGEN_PER_TONNE,Production (Phase 18/19),Unknown,Intermediate,Medium,VERIFY,QUESTIONABLE,VERIFY WITH JSPL,Yes
POWER_PER_TONNE,Production (Phase 18/19),Post-process,Outcome,High,Neither,LEAKY,REMOVE,Yes
SOLID_BURDEN_RATIO,Production (Phase 18/19),Planning,Controllable,None,Prediction; Optimization,SAFE,KEEP,Yes
HM_TO_DRI_RATIO,Production (Phase 18/19),Planning,Semi-controllable,None,Prediction; Optimization,SAFE,KEEP,Yes
BURDEN_SHARE_RANGE,Production (Phase 18/19),Planning,Controllable,None,Prediction; Optimization,SAFE,KEEP,Yes
HM_TO_BUCKET_RATIO,Production (Phase 18/19),Planning,Semi-controllable,None,Prediction; Optimization,SAFE,KEEP,Yes
BUCKET_X_DOLO,Production (Phase 18/19),Planning,Controllable,Low,Prediction; Optimization,SAFE,KEEP,Yes
CPC_X_DRI,Production (Phase 18/19),Unknown,Intermediate,Medium,VERIFY,QUESTIONABLE,VERIFY WITH JSPL,Yes
FLUX_PER_TONNE,Production (Phase 18/19),Planning,Controllable,None,Prediction; Optimization,SAFE,KEEP,Yes
FLUX_TO_CARBON_RATIO,Production (Phase 18/19),Unknown,Intermediate,Medium,VERIFY,QUESTIONABLE,VERIFY WITH JSPL,Yes
DOLO_X_LIME,Production (Phase 18/19),Planning,Controllable,None,Prediction; Optimization,SAFE,KEEP,Yes
DOLO_SQ,Production (Phase 18/19),Planning,Controllable,None,Prediction,SAFE,KEEP,Yes
CPC_X_HBI,Production (Phase 18/19),Unknown,Intermediate,Medium,VERIFY,QUESTIONABLE,VERIFY WITH JSPL,Yes
DRI_TO_HBI_RATIO,Production (Phase 18/19),Planning,Semi-controllable,None,Prediction,SAFE,KEEP,Yes
BUCKET_X_HBI,Production (Phase 18/19),Planning,Controllable,None,Prediction,SAFE,KEEP,Yes
DOLO_X_HBI,Production (Phase 18/19),Planning,Controllable,None,Prediction,SAFE,KEEP,Yes
HBI_SQ,Production (Phase 18/19),Planning,Semi-controllable,None,Prediction,SAFE,KEEP,Yes
SHIFT_LABEL,Production (Phase 18/19),Planning,Context,Low,Prediction,SAFE,KEEP,Yes
SHIFT_C,Production (Phase 18/19),Planning,Context,Low,Prediction,SAFE,KEEP,Yes
CHARGE_BALANCE_ERROR,Production (Phase 18/19),Planning,Data QC,None,Neither,SAFE,REMOVE,Yes
POWER,Phase 16 pool,Post-process,Outcome,High,Neither,LEAKY,REMOVE,No
OXY_X_POWER,Phase 16 pool,Post-process,Outcome,High,Neither,LEAKY,REMOVE,No
