Feature Removed,Feature Kept,Reason
SCRAP_DOMINANCE,BUCKET_SHARE_METALLIC,Exact duplicate of BUCKET_SHARE_METALLIC; lower industrial priority or higher VIF.
BUCKET_PCT_TC,SCRAP_RATIO,Exact duplicate of SCRAP_RATIO; lower industrial priority or higher VIF.
DRI_SHARE_METALLIC,DRI_DOMINANCE,Exact duplicate of DRI_DOMINANCE; lower industrial priority or higher VIF.
HM_PCT_TC,LIQUID_BURDEN_RATIO,Exact duplicate of LIQUID_BURDEN_RATIO; lower industrial priority or higher VIF.
HBI_SHARE_METALLIC,HBI_PCT_TC,Exact duplicate of HBI_PCT_TC; lower industrial priority or higher VIF.
CHARGE_DEVIATION_FROM_120,T C,Exact duplicate of T C; lower industrial priority or higher VIF.
RELATIVE_CHARGE_DEVIATION,T C,Exact duplicate of T C; lower industrial priority or higher VIF.
CARBON_PER_METALLIC_TONNE,CARBON_PER_TONNE,Exact duplicate of CARBON_PER_TONNE; lower industrial priority or higher VIF.
DOLO_PER_METALLIC_TONNE,DOLO_PER_TONNE,Exact duplicate of DOLO_PER_TONNE; lower industrial priority or higher VIF.
METALLIC_PERCENTAGE,METALLIC_BURDEN_RATIO,Exact duplicate of METALLIC_BURDEN_RATIO; lower industrial priority or higher VIF.
DRI_SQ,DRI,Cluster 1: retained higher-priority / lower-VIF representative.
DRI_X_HM,DRI,Cluster 1: retained higher-priority / lower-VIF representative.
BUCKET_SHARE_METALLIC,Bucket,Cluster 6: retained higher-priority / lower-VIF representative.
BUCKET_SQ,Bucket,Cluster 6: retained higher-priority / lower-VIF representative.
BUCKET_X_HM,Bucket,Cluster 6: retained higher-priority / lower-VIF representative.
BUCKET_X_LIME,Bucket,Cluster 6: retained higher-priority / lower-VIF representative.
BUCKET_X_OXY,Bucket,Cluster 6: retained higher-priority / lower-VIF representative.
BUCKET_X_POWER,Bucket,Cluster 6: retained higher-priority / lower-VIF representative.
SCRAP_RATIO,Bucket,Cluster 6: retained higher-priority / lower-VIF representative.
VIRGIN_BURDEN_RATIO,Bucket,Cluster 6: retained higher-priority / lower-VIF representative.
DRI_DOMINANCE,DRI_PCT_TC,Cluster 7: retained higher-priority / lower-VIF representative.
