Component,Category,Data source,Used in,Copilot,Dashboard,Live
IndustrialGauge,Gauge,number,generic,✓,,
ConfidenceRing,Gauge,score+tier,prediction,✓,,
HeatHealthRing,Gauge,health score,live,,,✓
PredictionBand,Prediction,AT+interval+target,SIFM,✓,,
PredictionDrift,Prediction,predicted vs actual,live,,,✓
TwinComparison,Prediction,baseline vs optimized,twin,✓,,
CostBreakdown,Finance,INR items,executive,,✓,
ProcessFlow,Process,stages,furnace,✓,,
AnimatedPipeline,Process,plant stages,twin,✓,,
StageProgress,Process,stages,furnace,✓,,
OperatorActionTimeline,Process,actions[],copilot,✓,,
RecommendationFlow,Flow,FlowStep[],copilot,✓,,
DecisionTree,Flow,FlowStep[],copilot,✓,,
ExecutionPath,Timeline,FlowStep[],copilot,✓,,
HeatTimeline,Timeline,FlowStep[],copilot,✓,,
ExecutionTimeline,Timeline,active step,copilot,✓,,
FurnaceCrossSection,Furnace,stage+metrics,twin,✓,,
TwinPlayback,Furnace,progress 0-1,twin,✓,,
MaterialFlow,Material,inputs[],recipe,✓,,
EnergyFlow,Energy,power/oxy/green,twin,✓,,
MaterialBalance,Material,inputs[],recipe,✓,,
CarbonFlow,Material,carbon %,twin,✓,,
SlagFlow,Material,slag %,twin,✓,,
RecipeRadar,Recipe,metric pairs,recipe,✓,,
RecipeDelta,Recipe,delta rows,recipe,✓,,
SavingsWaterfall,Recipe,AT+INR,impact,✓,✓,
SHAPWaterfall,Reasoning,SHAP drivers,SIFM,✓,,
ContributionTree,Reasoning,SHAP drivers,SIFM,✓,,
ReasoningFlow,Reasoning,ReasoningNode[],copilot,✓,,
HeatFingerprint,Similarity,LearningReference[],copilot,✓,,
RiskMatrix,Risk,likelihood×impact,copilot,✓,,
PlantStatusGrid,Plant,status cells,executive,,✓,
ProductionCalendar,Plant,days[],planning,,,
HeatFunnel,Executive,stage counts,dashboard,,✓,
TrendRiver,Executive,points[],dashboard,,✓,
IndustrialLegend,Primitive,colors,all,✓,✓,✓
VizPanel,Primitive,wrapper,all,✓,✓,✓
